,Publisher,Media,Name of Comic,,Story Title,,Year,,Volume,,No.,,Front Cover Artist,,Artist 1,,Artist 2,,Artist 3,,Condition,,Est. Value,,Notes
,Marvel,Comic,Conan the Barbarian,,The Warrior & the Were-Woman,,1974,,1,,38,,,,"Buscema, John",,,,,,VF/NM,,12,,
,Marvel,Comic,Conan the Barbarian,,The Curse of the Golden Skull,,1974,,1,,37,,,,"Adams, Neal",,,,,,VF plus,,20,,
,Marvel,Comic,Conan the Barbarian,,Beware the Hyrkanians Bearing Gifts,,1974,,1,,36,,,,"Buscema, John",,"Chua, Ernie",,,,VF plus,,10,,cover:  The Fury of the Stone God
,Marvel,Comic,Conan the Barbarian,,The Temptress in the Tower of Flame,,1974,,1,,34,,,,"Buscema, John",,"Chua, Ernie",,,,VF plus,,10,,
,Marvel,Comic,Conan the Barbarian,,The Hand of Nergal,,1973,,1,,30,,,,"Buscema, John",,"Chua, Ernie",,,,FN,,6,,cover:  The Devil Beasts of Nergal
,Marvel,Comic,Conan the Barbarian,,The Hour of the Griffin,,1973,,1,,26,,"Buscema, John",,"Buscema, John",,"Chua, Ernie",,,,VF,,13,,cover:  The Fall of the Towers
,Marvel,Comic,Conan the Barbarian,,The Coming of Conan,,1973,,1,,22,,"Smith, Barry",,"Smith, Barry",,"Adkins, Dan",,,,VF,,28,,cover:  The Shadow of the Vulture - representing the premier issue
,Marvel,Comic,Conan the Barbarian,,The Gods of Bal-Sagoth,,1972,,1,,17,,"Brunner,",,"Kane, Gil",,"Reese, Ralph",,,,NM minus,,60,,cover:  The Devil-God of Bal-Salgoth
,Marvel,Comic,Conan the Barbarian,,A Sword Called Stormbringer,,1972,,1,,14,,"Smith, Barry",,"Smith, Barry",,"Buscema, Sal",,,,VF minus,,30,,
,Marvel,Comic,Conan the Barbarian,,Rogues in the House,,1971,,1,,11,,"Smith, Barry",,"Smith, Barry",,"Buscema, Sal",,,,VF minus,,36,,cover:  The Talons of Thak
,Marvel,Comic,Conan the Barbarian,,Beware the Wrath of Anu,,1971,,1,,10,,"Smith, Barry",,"Smith, Barry",,"Buscema, Sal",,,,VF,,42,,cover:  Beware the Wratch of the Bull-God
,Marvel,Comic,Conan the Barbarian,,Black Knight-Men of the Shadows,,1971,,1,,10,,"Smith, Barry",,,,,,,,,,,,
,Marvel,Comic,Conan the Barbarian,,Kull The Conqueror-The King & the Oak,,1971,,1,,10,,"Smith, Barry",,"Severin, Marie",,"Severin, John",,,,,,,,
,Marvel,Comic,Conan the Barbarian,,The Keepers of the Crypt,,1971,,1,,8,,,,"Smith, Barry",,"Sutton,",,"Palmer, Tom",,VF plus,,56,,
,Marvel,Comic,Conan the Barbarian,,The Lurker Within,,1971,,1,,7,,"Smith, Barry",,"Smith, Barry",,"Adkins, Dan",,"Buscema, Sal",,NM minus,,95,,cover:  In the Coils of the Man-Serpent
,Marvel,Comic,Conan the Barbarian,,Devil-Wings Over Shadizar,,1971,,1,,6,,"Smith, Barry",,"Smith, Barry",,"Buscema, Sal",,,,NM,,95,,
,Marvel,Comic,Conan the Barbarian,,Bride of the Conqueror,,1979,,1,,5,,,,"Buscema, John",,"Chan, Ernie",,,,NM,,6,,King-Sized Annual
,Marvel,Comic,Conan the Barbarian,,At the Mountain of the Moon-God,,1977,,1,,3,,"Chan, Ernie",,"Buscema, John",,"Marcos, Pablo",,,,VF minus,,5,,King-Sized Annual
,Marvel,Comic,Conan the Barbarian,,King Kull-Beast from the Abyss,,1977,,1,,3,,"Chan, Ernie",,"Chaykin, Howard",,"Bunkers, Crusty",,,,,,,,King-Sized Annual
,Marvel,Comic,Conan the Barbarian,,Attack of the Midnight Monster,,1977,,1,,3,,,,,,,,,,,,,,King-Sized Annual
,Marvel,Comic,Conan the Barbarian,,Prologue - Conan the Cimmerian,,1976,,1,,2,,,,"Thomas, Roy",,"Buscema, John",,"Montano, Yong",,VF,,10,,King-Sized Annual
,Marvel,Comic,Conan the Barbarian,,The Phoenix on the Sword,,1976,,1,,2,,,,"Alcazar, Vicente",,"Montano, Yong",,,,,,,,King-Sized Annual
,Marvel,Comic,Conan the Barbarian,,Lair of the Beast-Men,,1973,,1,,1,,"Smith, Barry",,"Smith, Barry",,"Buscema, Sal",,,,VF,,19,,King-Sized Annual
,Marvel,Comic,Conan the Barbarian,,Swords of the South,,1975,,1,,4,,,,"Kane, Gil",,"Springer, Frank",,"Colletta, Vince",,VF,,16,,
,Marvel,Comic,Conan the Barbarian,,The Lurker Within,,1975,,1,,4,,,,"Smith, Barry",,"Adkins, Frnak",,,,,,,,"Giant-Size, Lurker Within originally presented in Conan #7"
,Marvel,Comic,"Conan, Giant-Size",,A Sword Called Stormbringer,,1975,,1,,5,,"Kirby, Jack",,"Smith, Barry",,"Buscema, Sal",,,,VF,,20,,,,
,Marvel,Comic,"Conan, Giant-Size",,The Green Empress of Melnibone,,1975,,1,,5,,"Kirby, Jack",,"Smith, Barry",,"Buscema, Sal",,,,,,,,,,
,Marvel,Comic,"Conan, Giant-Size",,"Tales of the Hyborian Age, The Blood of the Dragon",,1975,,1,,5,,"Kirby, Jack",,"Kane, Gil",,Diverse Hands,,,,,,,,,,
,Marvel,Comic,"Conan, King",,Witch of the Mists,,1980,,1,,1,,"Chan, Ernie",,"Buscema, John",,"Chan, Ernie",,,,VF minus,,5,,,,
,DC,Comic,"Creeper, The, First Issue Special",,Menace of the Human Firefly,,1975,,1,,7,,,,"Ditko, Steve",,Royer. Mike,,,,VF/NM,,16,,,,
TRUE,Marvel,Comic,"Cyclops of X-Factor, Marvel Comics Presents",,,,1989,,1,,23,,"Blevins, Bret",,,,,,,,VF minus,,8,,front and back covers,,
TRUE,Marvel,Comic,"Cyclops of X-Factor, Marvel Comics Presents",,Cyclops - The Retribution Affair- Mind Your Conscience,,1989,,1,,23,,,,"Lim, Ron",,"Albrecht, Jeff",,"Yanchus, Andy",,,,,,part 7 of 8,,
TRUE,Marvel,Comic,"Cyclops of X-Factor, Marvel Comics Presents",,Black Panther - Panther's Quest - The Official Version,,1989,,1,,23,,,,"Colan, Gene",,"Palmer, Tom",,"Oliver, Glynis",,,,,,part 11 of 25,,
TRUE,Marvel,Comic,"Cyclops of X-Factor, Marvel Comics Presents",,The Falcon - The Forest for the Trees,,1989,,1,,23,,,,"Cockrum, Dave",,"Sinclair, Jim",,"Greenpoint, Mike",,,,,,,,
TRUE,Marvel,Comic,"Cyclops of X-Factor, Marvel Comics Presents",,Wheels of Wolfpack- Lady Jane,,1989,,1,,23,,,,"Wilson, Ron",,"Blaisdell, Tex",,"Stein, Evelyn",,,,,,,,
,Zondervan Books/Publishing House,Comic,Dead Earth Comix,,Eco Newscast,,1972,,,,,,"Hardy, Lee",,"Taylor, Joe",,"Hardy, Lee",,,,VF,,,,,,
,Zondervan Books/Publishing House,Comic,Dead Earth Comix,,,,1972,,,,,,,,"Taylor, Joe",,"Clugston, Steve",,,,cover has 35 cents sticker,,,,"Special thanks to John Klotz, Hal Lindsey, and Francis Schaeffer",,
,Marvel,Comic,"Defenders, The",,Chains of Love,,1980,,1,,79,,Buckler,,"Trimpe, Herb",,"Hannigan, Ed",,"Esposito, Mike",,poor,,3,,background Tex Blaisdell,,
TRUE,Marvel,Comic,"Defenders, The",,"Rom, Spaceknight",,1980,,1,,79,,,,"Mantlo, Bill",,"Buscema, Sal",,,,poor,,,,background Tex Blaisdell,, - cover also McLeod
,DC,Comic,Detective Comics,,Death Mask,,1973,,37,,437,,,,"Aparo, Jim",,,,,,NM plus,,,,,,
,The Company & Sons,Comic,Dirty Duck Book,,Dirty Duck,,1971,,1,,1,,"London, Bobby",,"London, Bobby",,,,,,FN,,15,,,,
,Company & Sons,Comic,"Dirty Duck Book, The",,,,1971,,1,,1,,"London, Bobby",,"London, Bobby",,,,,,worn,,,,
,DC,Comic,Doom Patrol,,In the Shadow of the Great Guru,,1968,,,,119,,,,,,,,,,NM,,-2,,
,Last Gasp Eco Funnies,Comic,Dopin' Dan,,Uncle Sam's Cabin - Payday,,1973,,,,3,,"Richards, Ted",,"Richards, Ted",,,,,,VF/NM,,10,,
,Last Gasp Eco Funnies,Comic,Dr. Atomic,,Dr. Atomic & His Spaceship,,1972,,,,1,,"Todd, Larry",,"Todd, Larry",,,,,,VF/NM,,20,,
,Last Gasp Eco Funnies,Comic,Dr. Atomic,,The Giant Grass of Bangagong Valley,,1973,,,,2,,"Todd, Larry",,"Todd, Larry",,,,,,VF/NM,,15,,
,DC,Comic,Dr. Fate,,The Mummy That Time Forgot,,1975,,1,,9,,"Kubert, Joe",,"Simonson, Walt",,,,,,VF,,16,,
TRUE,Print Mint,Comic,El Perfecto Comics An Artists Benefit Comit for the Timothy Leary Defense Fund,,,,1973,,,,,,"Crumb, R",,"Crumb, R",,,,,,VF,,35,,
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,"Fat Freddy Gets the Clap, etc. several stories",,1983,,,,0,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,NM,,7,,2 copies
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,Fat Freddy Gets the Clap,,1983,,,,0,,,,,,,,,,VF,,5,,
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,"The 7th Voyage of the Fabulous Furry Freak Brothers, A Mexican Odyssey, etc. several stories",,1975,,,,4,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,NM,,30,,2 copies back cover spoof of Blank Painting with Fat Freddy
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,FFFB in the Fourth FB,,1975,,,,4,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,VF/NM,,6,,
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,"FFFB in Grassroots, etc. several stories",,1977,,,,5,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,VF/NM,,18,,
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,"FFFB in Grassroots, etc. several stories",,1988,,,,5,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,NM,,8,,
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,"FFFB in The Parakeet That Outwitted the DEA, etc. several stories",,1980,,,,6,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,VF/NM,,25,,
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,Burned Again,,1982,,,,7,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,NM/M,,12,,back cover:  On the Wheel of Karma with FFFB
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,The Idiots Abroad,,1985,,,,9,,"Shelton, Gilbert",,"Shelton, Gilbert",,"Mavrides, Paul",,,,M,,15,,
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,Red Hot Squat,,1992,,,,12,,"Shelton, Gilbert",,"Shelton, Gilbert",,"Mavrides, Paul",,,,M,,10,,back cover: Paul Mavrides
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,Phineas' Big Show,,1992,,,,12,,"Shelton, Gilbert",,"Shelton, Gilbert",,"Seyfried, Gerhard",,,,,,,,
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,Winter of '59,,1997,,,,13,,"Shelton, Gilbert",,"Shelton, Gilbert",,"Mavrides, Paul",,,,M,,10,,Originally appeared in Playboy Magazine More history inside cover
,Rip Off Press,Comic,Fabulous Furry Freak Brothers,,The Idiots Abroad,,1997,,,,,,,,"Shelton, Gilbert",,"Mavrides, Paul",,,,ok,,,,magazine size
,Rip Off Press,Comic,Facts o'Life Sex Education Funnies,,Fat Freddy Gets the Clap,,1972,,,,,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,VF/NM,,25,,
,Rip Off Press,Comic,Facts o'Life Sex Education Funnies,,If It Were True,,1972,,,,,,"Shelton, Gilbert",,"Brand, Michele",,,,,,,,,,
,Rip Off Press,Comic,Facts o'Life Sex Education Funnies,,Fertile Fanny,,1972,,,,,,"Shelton, Gilbert",,"Fountain, Lora",,,,,,,,,,
,Rip Off Press,Comic,Facts o'Life Sex Education Funnies,,Strawberry Fields,,1972,,,,,,"Shelton, Gilbert",,"Crumb, R",,,,,,,,,,
,Rip Off Press,Comic,Facts o'Life Sex Education Funnies,,Bitsy the Teenage Bunny,,1972,,,,,,"Shelton, Gilbert",,"Brand, Michele",,,,,,,,,,
,Rip Off Press,Comic,Facts o'Life Sex Education Funnies,,Trots & Bonnie,,1972,,,,,,"Shelton, Gilbert",,"Flenniken, Shary",,,,,,,,,,
,Rip Off Press,Comic,Facts o'Life Sex Education Funnies,,The Abortion Game,,1972,,,,,,"Shelton, Gilbert",,"Fountain, Lora",,,,,,,,,,
,Rip Off Press,Comic,Facts o'Life Sex Education Funnies,,Dopin' Dan in Hold the Mashed Potatoes,,1972,,,,,,"Shelton, Gilbert",,"Richards, Ted",,,,,,,,,,
,Rip Off Press,Comic,Facts o'Life Sex Education Funnies,,Man of the World Comes Clean,,1972,,,,,,"Shelton, Gilbert",,"Hallgren, Gary",,,,,,,,,,
,Rip Off Press,Comic,Facts o'Life Sex Education Funnies,,Clarence Crablice in Sins of the Flesh,,1972,,,,,,"Shelton, Gilbert",,"London, Bobby",,,,,,,,,,
,Rip Off Press,Comic,Facts o'Life Sex Education Funnies,,Fertile Fanny,,1972,,,,,,"Shelton, Gilbert",,"Fountain, Lora",,,,,,,,,,
TRUE,"Marvel, Editoriale Corno",Comic,Fantastic Four: I Fantastici Quattro,,Mostro Della Laguna Perduta,,1983,,,,9,,"Kirby, Jack",,"Kirby, Jack",,"Giacoia, Frank",,,,NM,,,,
TRUE,Marvel,Comic,Fantastic Four:I Fantastici Quattro,,Sub-Mariner - Tu Morirai!,,1983,,,,9,,,,"Sinnott, Joe",,"Severin, Marie",,"Thomas, Roy",,good,,,,
,Rip Off Press,Comic,Fat Freddy's Cat,,I Led Nine Lives,,1977,,,,1,,"Shelton, Gilbert",,"Shelton, Gilbert",,"Sheridan, Dave",,,,VF/NM,,6,,
,Rip Off Press,Comic,Fat Freddy's Cat,,I Led Nine Lives,,1988,,,,1,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,,,,,
,Rip Off Press,Comic,Fat Freddy's Cat,,Chariot of the Globs,,1977,,,,2,,"Shelton, Gilbert",,"Shelton, Gilbert",,"Sheridan, Dave",,,,VF/NM,,10,,
,Rip Off Press,Comic,Fat Freddy's Cat,,Animal Camp,,1977,,,,3,,"Shelton, Gilbert",,"Shelton, Gilbert",,"Sheridan, Dave",,,,VF/NM,,18,,
,Rip Off Press,Comic,Fat Freddy's Cat,,The Burning of Hollywood,,1978,,,,4,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,NM,,20,,
,Rip Off Press,Comic,Fat Freddy's Cat,,The Sacred Sands of Pootweet,,1980,,,,5,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,VF/NM,,12,,
,Rip Off Press,Comic,Fat Freddy's Cat,,I Led Nine Lives,,1988,,,,1,,"Shelton, Gilbert",,"Shelton, Gilbert",,"Sheridan, Dave",,,,VF,,,,Larger Version
,Rip Off Press,Comic,Feel Good Funnies,,The Casebook of Dr. Feelgood-The TV Freak,,1972,,,,1,,"Sturgeon, Foolbert",,"Sturgeon, Foolbert",,,,,,NM,,40,,Back cover by Gilbert Shelton
,Rip Off Press,Comic,Feel Good Funnies,,A True Story or a Paranoid Fantasy,,1972,,,,1,,"Sturgeon, Foolbert",,"Sturgeon, Foolbert",,,,,,VF,,,,
,Rip Off Press,Comic,Feel Good Funnies,,A Will Hatcher Adventure,,1972,,,,1,,"Sturgeon, Foolbert",,,,,,,,VF,,,,
,Rip Off Press,Comic,Feel Good Funnies,,The Casebook of Dr. Feelgood in which The Doctor Gets a Fat Lip,,1972,,,,1,,"Sturgeon, Foolbert",,"Sturgeon, Foolbert",,,,,,VF,,,,
,DC,Comic,"Flash, The ",,Fact or Fiction?,,1968,,,,179,,"Esposito, Mike",,"Andreu, Ross",,"Esposito, Mike",,,,NM plus,,,,Ross Andreu also on cover
TRUE,DC,Comic,"Flash, The",,"I'm Going to Kil You, Flash…But Not Till I'm Good & Ready",,1975,,26,,234,,,,"Novick, Irv",,"Blaisdell, Tex",,,,FN minus,,5,,
,DC,Comic,"Flash, The",,"Green Lantern, And the Winner is Death",,1975,,26,,234,,,,"Dillin, Dick",,"Austin, Terry",,"Giordano, Dick",,,,,,
,Marvel,Comic,Flintstones,,The Amazing Rubble Bubble,,1979,,1,,9,,,,,,,,,,"Poor stained, cover torn",,0,,
,DC,Comic,Freedom Fighters,,The Freedom Fighters,,1976,,1,,1,,"Chan, Ernie",,"Estrada, Ric",,"Royer, Mike",,,,NM,,37
TRUE,DC,Comic,Freedom Fighters,,Rampage,,1976,,1,,2,,"Blaisdell, Tex",,"Marcos, Pablo",,"Blaisdell, Tex",,,,FN,,9
TRUE,DC,Comic,Freedom Fighters,,Rampage,,1976,,1,,2,,"Blaisdell, Tex",,"Marcos, Pablo",,"Blaisdell, Tex",,,,FN,,4
,DC,Comic,Freedom Fighters,,Freedom Fighters & Wonder Woman - The Rise & Fall of King Samson,,1976,,1,,5,,"Colletta, Vince",,"Fradon, Ramona",,"Colletta, Vince",,,,M,,25
,DC,Comic,"G.I. Combat, The Haunted Tank",,The Breakiing Point,,2020,,29,,223,,"Kubert, Joe",,"Glanzman, Sam",,"Ayers, Dick",,,,GD,,2
,DC,Comic,"G.I. Combat, The Haunted Tank",,Death is a Handful of Pennies,,2020,,29,,223,,"Kubert, Joe",,"Cruz, Ernie",,,,,,,,
,DC,Comic,"G.I. Combat, The Haunted Tank",,Winged Warrior,,2020,,29,,223,,"Kubert, Joe",,"Vicatan,",,,,,,,,
,DC,Comic,"G.I. Combat, The Haunted Tank",,Stand-off on the Sahara,,2020,,29,,223,,"Kubert, Joe",,"Glanzman, Sam",,,,,,,,
,DC,Comic,"G.I. Combat, The Haunted Tank",,The Other Side of War,,2020,,29,,223,,"Kubert, Joe",,"Matucenio, Josem",,,,,,,,
,DC,Comic,"G.I. Combat, The Haunted Tank",,Traitor Tank,,2020,,29,,223,,"Kubert, Joe",,"Glanzman, Sam",,"Ayers, Dick",,,,,,
,DC,Comic,Ghosts,,Floating Coffin,,1980,,10,,87,,LD,,"Talaoc, Gerry",,,,,,GD/VG,,2
,DC,Comic,Ghosts,,The Phantom Freak,,1980,,10,,87,,LD,,"Carrillo, Fred",,,,,,,,
,DC,Comic,Ghosts,,Intro,,1980,,10,,89,,"Kubert, Joe",,"Tanghal, Romeo",,,,,,GD,,1
,DC,Comic,Ghosts,,Came the Spectre Shrouded in Seaweed,,1980,,10,,89,,"Kubert, Joe",,"Henson, Tenny",,,,,,,,
,DC,Comic,Ghosts,,The Phantom's Last Act,,1980,,10,,89,,"Kubert, Joe",,"Yeats, Tom",,,,,,,,
,DC,Comic,Ghosts,,Haunted Coffin,,1980,,10,,89,,"Kubert, Joe",,"Mortimer, Win",,,,,,,,
,DC,Comic,Ghosts,,The Haunted Wheelchair,,1980,,10,,91,,LD,,"Mortimer, Win",,,,,,FR/GD,,1,,
,DC,Comic,Ghosts,,The Ghostly Glass,,1980,,10,,91,,LD,,"Yandoc, Ruben",,,,,,,,,,
,DC,Comic,Ghosts,,Wail of the Whipping Boy,,1980,,10,,91,,LD,,"Landgraft, Ken",,"Gill, Armando",,,,,,,,
,DC,Comic,Ghosts,,The Banchee Bridge of Bollybrooke,,1980,,10,,94,,LD,,"Mortimer, Win",,,,,,GD,,1,,
,DC,Comic,Ghosts,,Great Caesar's Ghost,,1980,,10,,94,,LD,,"Sparling, Jack",,"Adkins, Dan",,,,,,,,
,DC,Comic,Ghosts,,A Spirit Was Waiting,,1980,,10,,94,,LD,,"Newton, Don",,"Celardo, John",,,,,,,,
,DC,Comic,Ghosts,,The Spectre from the Granite Coffin,,1980,,10,,94,,LD,,"Barretto, Ed",,"Colletta, Vince",,,,,,,,
,DC,Comic,Ghosts,,"Dr. 13, Ghost-Breaker, in the Haunted Hospital",,1981,,11,,101,,"Kaluta, M",,"Bender, Howard",,"Rodriguez, Rodin",,,,GD/VG,,2,,
,DC,Comic,Ghosts,,"Dr. 13, Ghost-Breaker, in Voodoo",,1981,,11,,101,,"Kaluta, M",,"Bender, Howard",,"DeZuniga, Tony",,,,,,,,
,DC,Comic,Ghosts,,Spectral Witness,,1981,,11,,101,,"Kaluta, M",,"Landgraft, Ken",,"Colletta, Vince",,,,,,,,
,DC,Comic,Ghosts,,Intro,,1981,,11,,102,,"Buckler, Ken",,"Bender, Howard",,"Rodriguez, Rodin",,,,VG,,2,,
,DC,Comic,Ghosts,,One Last Kiss,,1981,,11,,102,,"Buckler, Ken",,"DeZuniga, Tony",,,,,,,,,,
,DC,Comic,Ghosts,,The Truth According to Nina,,1981,,11,,102,,"Buckler, Ken",,"Estrada, Ric",,,,,,,,,,
,DC,Comic,Ghosts,,"Dr. 13, Ghost-Breaker, in the Fine Art of Haunting",,1981,,11,,102,,"Buckler, Ken",,"Bender, Howard",,"Rodriguez, Rodin",,,,,,,,
,Half-Ass Press,Comic,Greaser Comics,,,,1971,,,,1,,"DiCaprio, G",,"DiCaprio, G",,"Jaccoma, R",,,,VF/NM,,20,,
,,Comic,Greaser Comics,,Inside Covers,,1971,,,,1,,"Bloomer, K",,,,,,,,VF,,,,inside covers
,,Comic,Greaser Comics,,Centerfold,,1971,,,,1,,,,"Dowd, John",,,,,,F,,,,
,Rip Off Press,Comic,Greaser Comics,,31-Oct-54,,1972,,,,2,,"Janes, Jim",,"DiCaprio, G",,"Janes, Jim",,,,VF/NM,,15,,
,,Comic,Greaser Comics,,Centerfold,,1972,,,,2,,"Dowd, J",,"Fratto, V",,,,,,,,,,
,DC,Comic,Green Lantern,,The Omega Men,,1981,,19,,142,,"Perez, George",,"Staton, Joe",,,,,,F/VF,,,,
,DC,Comic,Green Lantern,,Adam Strange - The Crystal Peril,,1981,,19,,142,,"Perez, George",,"Rodriguez, Rodin",,"Mahlstedt, Larry",,,,F/VF,,,,
,DC,Comic,"Green Lantern, Co-Starring Green Arrow",,…And Through Him Save a World,,1972,,13,,89,,,,"Adams, Neal",,,,,,M minus,,,,
,DC,Comic,"Green Team Boy Millionaires, The, First Issue Special",,The Green Team Boy Millionaires,,1975,,1,,2,,,,"Grandenetti, Jerry",,,,,,NM minus,,14,,
,Last Gasp Eco Funnies,Comic,Harold Hedd,,Wings Over Tijuana,,1973,,,,2,,"Holmes, Rand H",,"Holmes, Rand H",,,,,,NM/M,,,,Cover 1972
TRUE,Print Mint,Comic,Heavy Tragi-comics,,"Allegory Comix Presents the Story of Fou, etc. several stories",,1969,,,,1,,"Irons, Greg",,"Irons, Greg",,,,,,NM,,40,,
,DC,Comic,Hercules Unbound,,War Among the Ruins,,1976,,2,,5,,"Garcia-Lopez, Jose Luis",,"Garcia-Lopez, Jose Luis",,"Wood, Wally",,,,VF/NM,,8,,
,DC,Comic,Hercules Unbound,,Within the Pit Below,,1976,,2,,3,,,,"Garcia-Lopez, Jose Luis",,"Wood, Wally",,,,VF/NM,,8,,
,DC,Comic,Hercules Unbound,,Unleash the Hounds of Hell,,1975,,1,,2,,,,"Garcia-Lopez, Jose Luis",,"Wood, Wally",,,,VF/NM,,8,,
,DC,Comic,Hercules Unbound,,Hercules Unbound,,1975,,1,,1,,"Garcia-Lopez, Jose Luis",,"Garcia-Lopez, Jose Luis",,"Wood, Wally",,,,VF,,9,,
,Spoof Comics,Comic,Hobo,,,,1993,,,,9,,"Martinez, Henry",,"Jacobsen, Allan",,"Halbleib, Mike",,,,NM,,,,
,Kitchen Sink Enterprises,Comic,Home Grown Funnies,,,,1971,,1,,1,,"Crumb, R",,"Crumb, R",,,,,,NM high,,100,,
,DC,Comic,"House of Mystery, The",,Intro,,1980,,30,,281,,Starlin,,"Tanghal, Romeo",,,,,,VG,,4,,
,DC,Comic,"House of Mystery, The",,Now Dying in this Corner,,1980,,30,,281,,Starlin,,"Magpie'O, Joel P.",,,,,,,,,,
,DC,Comic,"House of Mystery, The",,Rampage,,1980,,30,,281,,Starlin,,"Redondo, Frank",,,,,,,,,,
,DC ,Comic,"House of Mystery, The",,Intro,,1980,,30,,283,,"Kubert, Joe",,"Tanghal, Romeo",,,,,,GD,,2,,cover separated
,DC ,Comic,"House of Mystery, The",,One Last Beautiful Swindle,,1980,,30,,283,,"Kubert, Joe",,"Tanghal, Romeo",,"Celardo, John",,,,,,,,
,DC ,Comic,"House of Mystery, The",,Kill Me Gently,,1980,,30,,283,,"Kubert, Joe",,"Callito, A-?",,,,,,,,,,
,DC,Comic,"House of Mystery, The",,Ruby!,,1980,,30,,284,,"Kaluta, M",,"Zamora, Noly",,,,,,GD/VG,,3,,
,DC,Comic,"House of Mystery, The",,The King & The Drago,,1980,,30,,284,,"Kaluta, M",,"Giffen, Keith",,"Celardo, John",,,,,,,,
,DC,Comic,"House of Mystery, The",,Friends to the End,,1980,,30,,284,,"Kaluta, M",,"LoFamia, Jun",,,,,,,,,,
,DC,Comic,"House of Mystery, The",,"Deadly Peril at 20,000",,1980,,30,,284,,"Kaluta, M",,"Jodloman, Jess",,,,,,,,,,
,DC ,Comic,"House of Mystery, The",,Intro,,1980,,30,,286,,"Kubert, Joe",,"Tanghal, Romeo",,,,,,GD/VG,,5,,
TRUE,DC ,Comic,"House of Mystery, The",,The Long Arm of the Law,,1980,,30,,286,,"Kubert, Joe",,"Hasen, Irwin",,"Bulanadi, Danny",,,,,,,,
,DC ,Comic,"House of Mystery, The",,Slave of the Pharoah,,1980,,30,,286,,"Kubert, Joe",,"Patricio, Ernesto",,,,,,,,,,
,DC ,Comic,"House of Mystery, The",,The Man Who Died Tomorrow,,1980,,30,,286,,"Kubert, Joe",,"Elias, Lee",,,,,,,,,,
TRUE,Print Mint,Comic,Illuminations,,Wiley Willy's Illuminations by Red Hot Artists,,1971,,,,,,Jewel,,"Mendes, ",,,,,,VF/NM,,10,,
,Print Mint,Comic,Illuminations,,Astral Weeks,,1971,,,,,,Jewel,,"Hayes, R",,"Wood, Julie",,,,VF,,,,
,Print Mint,Comic,Illuminations,,The Star Queen Holds Up the Skies,,1971,,,,,,Jewel,,Trina,,,,,,VF,,,,
,Print Mint,Comic,Illuminations,,Comic Continuum,,1971,,,,,,Jewel,,"Williams, Robert",,,,,,VF,,,,
,Print Mint,Comic,Illuminations,,Powerhouse,,1971,,,,,,Jewel,,"Evans, Jim",,,,,,VF,,,,
,Print Mint,Comic,Illuminations,,Toda Cola,,1971,,,,,,Jewel,,"Griffith, Bill",,,,,,VF,,,,
,Print Mint,Comic,Illuminations,,2002 AD: Speedo Krenshaw & Krishna Horowitz,,1971,,,,,,Jewel,,"Deitch, Kim",,,,,,VF,,,,
,Print Mint,Comic,Illuminations,,Moozak,,1971,,,,,,Jewel,,"Green, Justin",,,,,,VF,,,,
,Print Mint,Comic,Illuminations,,Maids of Neptune #8,,1971,,,,,,Jewel,,"Cone, Arcee",,,,,,VF,,,,
,Print Mint,Comic,Illuminations,,Funky Nazis,,1971,,,,,,Jewel,,"Lossarian,",,,,,,VF,,,,
,Print Mint,Comic,Illuminations,,The 137th Dream of Lester Gass,,1971,,,,,,Jewel,,"Wilson, S. Clay",,,,,,VF,,,,
,Print Mint,Comic,Illuminations,,Vultura,,1971,,,,,,Jewel,,"Osborne, Jim",,,,,,VF,,,,
,Print Mint,Comic,Illuminations,,"Johnny, Julie, & Harpo",,1971,,,,,,Jewel,,Pettitt,,,,,,,,,,
,Print Mint,Comic,Illuminations,,Great Moments in Road Vulture History,,1971,,,,,,Jewel,,Clark,,,,,,,,,,
,Print Mint,Comic,Illuminations,,Fantasy #347: Liberation of the Groupies,,1971,,,,,,Jewel,,Trina,,,,,,,,,,
